,names,forms,pulici_ryha,lekova_forma,barva,tvar,konvexita,velikost,imprint
10,Zyllt 75 mg potahované tablety,"Potahovaná tableta.
Růžové, kulaté a mírně konvexní potahované tablety.",False,potahovaná tableta,růžové,kulaté,konvexní,,
11,"ENELBIN 100 RETARD
tablety s prodlouženým uvolňováním","tableta s prodlouženým uvolňováním
Přípravek ENELBIN 100 RETARD jsou světle žluté čočkovité potahované tablety.",False,tableta s prodlouženým uvolňováním,žluté,,,,
12,"Lorista 12,5, potahované tablety
Lorista 25, potahované tablety
Lorista 50, potahované tablety
Lorista 100, potahované tablety","Potahovaná tableta
Lorista 12,5: oválná, vypouklá, žlutá potahovaná tableta.
Lorista 25: oválná, vypouklá, žlutá potahovaná tableta, na jedné straně s půlicí rýhou. Tabletu lze
rozdělit na stejné dávky.
Lorista 50: kulatá, vypouklá, bílá potahovaná tableta, s půlicí rýhou na jedné straně se zkosenými
hranami. Půlicí rýha není určena k rozlomení tablety.
Lorista 100: oválná, vypouklá, bílá potahovaná tableta.",True,potahovaná tableta,"žlutá, žlutá, bílá, bílá",oválná,,,
13,"Orocalm 1,5 mg/ml orální sprej, roztok
Orocalm Forte 3 mg/ml orální sprej, roztok","Orální sprej, roztok
Čirý a bezbarvý roztok s příchutí a vůní třešní.",False,"orální sprej, roztok",bezbarvý,roztok,roztok,,
14,PANZYNORM forte-N,"Enterosolventní tablety
Popis přípravku: bílé až světle šedé, hladké, kulaté, konvexní tablety s aromatickou enterosolventní
vrstvou.",False,enterosolventní tablety,bílé,kulaté,konvexní,,
15,"Gliklazid Actavis 30 mg
Gliklazid Actavis 60 mg
tablety s řízeným uvolňováním","Tableta s řízeným uvolňováním.
Gliklazid Actavis 30 mg jsou bílé, oválné, bikonvexní 5 x 11 mm tablety s označením „G“ na jedné
straně.
Gliklazid Actavis 60 mg jsou bílé, oválné, bikonvexní 7 x 15 mm tablety s rýhou na obou stranách,
s označením „G“ na jedné straně rýhy a „60“ na druhé straně rýhy.
Tabletu lze rozdělit na stejné dávky.",False,tableta s řízeným uvolňováním,"bílé, bílé",oválné,bikonvexní,"['11 mm', '15 mm']","„G“, „G“, „60“"
16,"CLEXANE 2 000 IU (20 mg)/0,2 ml injekční roztok v předplněné injekční stříkačce
CLEXANE 4 000 IU (40 mg)/0,4 ml injekční roztok v předplněné injekční stříkačce
CLEXANE 6 000 IU (60 mg)/0,6 ml injekční roztok v předplněné injekční stříkačce
CLEXANE 8 000 IU (80 mg)/0,8 ml injekční roztok v předplněné injekční stříkačce
CLEXANE 10 000 IU (100 mg)/1 ml injekční roztok v předplněné injekční stříkačce","Injekční roztok v předplněné injekční stříkačce.
Čirý, bezbarvý až slabě nažloutlý roztok o pH 5,5–7,5",False,injekční roztok v předplněné injekční stříkačce,"bezbarvý, nažloutlý",roztok,roztok,,
17,Humulin N (NPH) KwikPen 100 IU/ml injekční suspenze v předplněném peru,"Injekční suspenze v předplněném peru.
Humulin N je sterilní suspenze bílého, krystalického precipitátu humánního isofan inzulinu
v izotonickém fosfátovém pufru.",False,injekční suspenze v předplněném peru,bílého,,,,
18,"Ifirmacombi 150 mg/12,5 mg potahované tablety
Ifirmacombi 300 mg/12,5 mg potahované tablety
Ifirmacombi 300 mg/25 mg potahované tablety","Potahovaná tableta (tableta).
Ifirmacombi 150 mg/12,5 mg potahované tablety
Světle růžové bikonvexní oválné potahované tablety.
Ifirmacombi 300 mg/12,5 mg potahované tablety
Bílé bikonvexní potahované tablety ve tvaru tobolky.
Ifirmacombi 300 mg/25 mg potahované tablety
Světle růžové bikonvexní potahované tablety ve tvaru tobolky.",False,potahovaná tableta (tableta),"růžové, bílé, růžové",oválné,bikonvexní,,
19,Firazyr 30 mg injekční roztok v předplněné injekční stříkačce.,"Injekční roztok.
Roztok je čirá a bezbarvá tekutina.",False,injekční roztok,bezbarvá,roztok.,roztok.,,
20,"Natrixam 1,5 mg / 5 mg tablety s řízeným uvolňováním
Natrixam 1,5 mg / 10 mg tablety s řízeným uvolňováním","Tableta s řízeným uvolňováním.
Bílá, kulatá, potahovaná dvouvrstvá tableta s řízeným uvolňováním o průměru 9 mm s vyraženýmna
jedné straně.
Růžová, kulatá, potahovaná dvouvrstvá tableta s řízeným uvolňováním o průměru 9 mm s vyraženýmna
jedné straně.",False,tableta s řízeným uvolňováním,"bílá, růžová",kulatá,,"['9 mm', '9 mm']",
21,"Lekoptin 40 mg
Lekoptin 80 mg
Lekoptin 120 mg
obalené tablety","Obalená tableta
Lekoptin 40 mg jsou kulaté, žluté, bikonvexní obalené tablety o průměru 6,6 – 7,0 mm.
Lekoptin 80 mg jsou kulaté, žluté, bikonvexní, obalené tablety o průměru 9,9 – 10,1 mm.
Lekoptin 120 mg jsou kulaté, žluté, bikonvexní, obalené tablety o průměru 12,0 – 12,1 mm.",False,obalená tableta,"žluté, žluté, žluté",kulaté,bikonvexní,"['7,0 mm', '10,1 mm', '12,1 mm']",
22,"Orfadin 2 mg tvrdé tobolky
Orfadin 5 mg tvrdé tobolky
Orfadin 10 mg tvrdé tobolky
Orfadin 20 mg tvrdé tobolky","Tvrdá tobolka.
Bílé neprůsvitné tobolky (6x16 mm) černě označené „NTBC 2mg“ na jedné straně tobolky.
Bílé neprůsvitné tobolky (6x16 mm) černě označené „NTBC 5mg“ na jedné straně tobolky.
Bílé neprůsvitné tobolky (6x16 mm) černě označené „NTBC 10mg“ na jedné straně tobolky.
Bílé neprůsvitné tobolky (6x16 mm) černě označené „NTBC 20mg“ na jedné straně tobolky.
Tobolky obsahují bílý či téměř bílý prášek.",False,tvrdá tobolka,"bílé, černě, bílé, černě, bílé, černě, bílé, černě, bílý, bílý",tobolka.,tobolka.,"['16 mm', '16 mm', '16 mm', '16 mm']","„NTBC 2mg“, „NTBC 5mg“, „NTBC 10mg“, „NTBC 20mg“"
23,ZAHRON 10 mg potahované tablety,"Potahovaná tableta.
Světlé růžové kulaté tablety s vyraženým ""10"" na jedné straně.",False,potahovaná tableta,růžové,kulaté,,,"""10"""
24,"RIVOCOR 5 mg potahované tablety
RIVOCOR 10 mg potahované tablety","Potahovaná tableta
Rivocor 5 mg: kulaté, bikonvexní, potahované tablety barvy slonové kosti s půlicí rýhou na jedné
straně.
Tabletu lze rozdělit na stejné dávky.
Rivocor 10 mg: kulaté, bikonvexní, potahované tablety barvy světle hnědé s půlicí rýhou na jedné
straně.
Tabletu lze rozdělit na stejné dávky.",True,potahovaná tableta,"slonové, hnědé",kulaté,bikonvexní,,
25,"Pyridoxin Léčiva
tablety","Tableta.
Popis přípravku: Téměř bílé, ploché tablety s půlicí rýhou
Tabletu lze rozdělit na stejné dávky.",True,tableta,bílé,ploché,,,
26,"GLUCOPHAGE 500 mg
potahované tablety","Potahovaná tableta.
Popis přípravku: bílá, kulatá, konvexní potahovaná tableta.",False,potahovaná tableta,bílá,kulatá,konvexní,,
27,"Relistor 12 mg/0,6 ml injekční roztok","Injekční roztok.
Čirý roztok, bezbarvý až světle žlutý, bez viditelných částic.",False,injekční roztok,"bezbarvý, žlutý",roztok.,roztok.,,
28,"OMEPRAZOL TEVA PHARMA 10 mg enterosolventní tvrdé tobolky
OMEPRAZOL TEVA PHARMA 20 mg enterosolventní tvrdé tobolky","Enterosolventní tvrdá tobolka (enterosolventní tobolka).
Popis přípravku:
OMEPRAZOL TEVA PHARMA 10 mg – tvrdé želatinové tobolky velikosti 3, víčko červené
neprůhledné a tělo oranžové neprůhledné s potiskem „O10“, obsahující bílé až béžové granule.
OMEPRAZOL TEVA PHARMA 20 mg – tvrdé želatinové tobolky o velikosti 2, víčko modré
neprůhledné a tělo oranžové neprůhledné s potiskem „O20“, obsahující bílé až béžové granule.",False,enterosolventní tvrdá tobolka (enterosolventní tobolka),"červené, oranžové, bílé, béžové, modré, oranžové, bílé, béžové",tobolka,tobolka,,"„O10“, „O20“"
29,"INDAP
2,5 mg
tvrdé tobolky","Tvrdá tobolka
Tvrdé želatinové tobolky se spodní částí bílou a vrchní modrou, uvnitř bílý prášek.",False,tvrdá tobolka,"bílou, modrou, bílý",tobolka,tobolka,,
30,BRINAVESS 20 mg/ml koncentrát pro infuzní roztok,"Koncentrát pro infuzní roztok (sterilní koncentrát).
Čirý a bezbarvý až světle žlutý roztok s hodnotou pH přibližně 5,5.
Osmolalita léčivého přípravku je nastavena do následujícího rozmezí: 270 až 320 mosmol/kg",False,koncentrát pro infuzní roztok (sterilní koncentrát),"bezbarvý, žlutý",roztok,roztok,,
31,"Nitisinone MDK 2 mg tvrdé tobolky
Nitisinone MDK 5 mg tvrdé tobolky
Nitisinone MDK 10 mg tvrdé tobolky","Tvrdá tobolka.
Bílé neprůsvitné tobolky (15,7 mm) s černým potiskem „2 mg“ na horní části a „Nitisinone“ na straně
tobolky.
Bílé neprůsvitné tobolky (15,7 mm) s černým potiskem „5 mg“ na horní části a „Nitisinone“ na straně
tobolky.
Bílé neprůsvitné tobolky (15,7 mm) s černým potiskem „10 mg“ na horní části a „Nitisinone“ na t.
Tobolky obsahují bílý či téměr bílý prášek.",False,tvrdá tobolka,"bílé, černým, bílé, černým, bílé, černým, bílý, bílý",tobolka.,tobolka.,"['15,7 mm', '15,7 mm', '15,7 mm']","„2 mg“, „Nitisinone“, „5 mg“, „Nitisinone“, „10 mg“, „Nitisinone“"
32,"Xaleec 8 mg tablety
Xaleec 16 mg tablety","Tableta.
Tablety 8 mg: růžová, mramorovaná, kulatá, bikonvexní tableta s vyraženou číslicí 8 na jedné straně a
s půlicí rýhou na druhé.
Tablety 16 mg: růžová, mramorovaná, kulatá, bikonvexní tableta s vyraženou číslicí 16 na jedné straně
a s půlicí rýhou na druhé.
Tabletu lze rozdělit na stejné dávky.",True,tableta,"růžová, růžová",kulatá,bikonvexní,,
33,"ACCUPRO 5 mg potahované tablety
ACCUPRO 10 mg potahované tablety
ACCUPRO 20 mg potahované tablety","Potahovaná tableta.
5 mg – bílé, oválné, bikonvexní, potahované tablety s půlicí rýhou na obou stranách a vyraženým kódem
„5“ na obou stranách v opačném směru.
10 mg – bílé, trojúhelníkovité, bikonvexní, potahované tablety s vyraženým kódem „10“ na jedné straně
a půlicí rýhou na obou stranách.
20 mg – bílé, kulaté, bikonvexní potahované tablety s půlicí rýhou na jedné straně a vyraženým kódem
„20“ na druhé straně.
Tabletu lze rozdělit na stejné dávky.",True,potahovaná tableta,"bílé, bílé, bílé",oválné,bikonvexní,,"„5“, „10“, „20“"
34,"DILATREND 6,25
DILATREND 25
tablety","Tableta.
Popis přípravku:
Dilatrend 6,25 - žluté kulaté tablety s oboustrannou půlící rýhou, označené na jedné straně BM a na
druhé straně F1, velikosti 7,0 x 2,4 mm.
Dilatrend 25 - bílé až slabě nažloutlé kulaté tablety s oboustrannou půlící rýhou, označené na jedné
straně BM a na druhé straně D5, velikosti 7,0 x 2,2 mm.
Tabletu lze rozdělit na stejné dávky.",True,tableta,"žluté, bílé, nažloutlé",kulaté,,"['2,4 mm', '2,2 mm']",
35,"Coryol 3,125 mg tablety
Coryol 6,25 mg tablety
Coryol 12,5 mg tablety
Coryol 25 mg tablety","Tableta
Popis přípravku:
Coryol 3,125 mg: kulaté, mírně bikonvexní, bílé tablety se zkosenými hranami.
Coryol 6,25 mg: podlouhlé, mírně bikonvexní, bílé tablety, označené na jedné straně S2, s půlicí rýhou
na druhé straně.
Coryol 12,5 mg: podlouhlé, mírně bikonvexní, bílé tablety, označené na jedné straně S3, s půlicí rýhou
na druhé straně.
Coryol 25 mg: kulaté, mírně bikonvexní, bílé tablety se zkosenými hranami, s půlicí rýhou na jedné
straně.
Tablety přípravků Coryol 6,25 mg, Coryol 12,5 mg a Coryol 25 mg lze rozdělit na stejné dávky.",True,tableta,"bílé, bílé, bílé, bílé",kulaté,bikonvexní,,
36,"CLEXANE FORTE 12 000 IU (120 mg)/0,8 ml injekční roztok v předplněné injekční stříkačce
CLEXANE FORTE 15 000 IU (150 mg)/1 ml injekční roztok v předplněné injekční stříkačce","Injekční roztok v předplněné injekční stříkačce.
Čirý, bezbarvý až slabě nažloutlý roztok o pH 5,5–7,5",False,injekční roztok v předplněné injekční stříkačce,"bezbarvý, nažloutlý",roztok,roztok,,
37,"Atorvastatin +pharma 10 mg potahované tablety
Atorvastatin +pharma 20 mg potahované tablety
Atorvastatin +pharma 40 mg potahované tablety","Potahovaná tableta
Atorvastatin +pharma 10 mg: bílé, kulaté, bikonvexní potahované tablety o průměru 7 mm.
Atorvastatin +pharma 20 mg: bílé, kulaté, bikonvexní potahované tablety o průměru 9 mm.
Atorvastatin +pharma 40 mg: bílé, oválné, bikonvexní potahované tablety o rozměru 8,2 x
17 mm.",False,potahovaná tableta,"bílé, bílé, bílé",kulaté,bikonvexní,"['7 mm', '9 mm', '17 mm']",
38,"Apo-Atorvastatin 10 mg potahované tablety
Apo-Atorvastatin 20 mg potahované tablety
Apo-Atorvastatin 40 mg potahované tablety
Apo-Atorvastatin 80 mg potahované tablety","Potahovaná tableta.
Tablety přípravku Apo-Atorvastatin 10 mg: bílé až téměř bílé, oválné, bikonvexní potahované tablety
s označením „APO“ na jedné straně a „A10“ na druhé straně.
Tablety přípravku Apo-Atorvastatin 20 mg: bílé až téměř bílé, oválné, bikonvexní potahované tablety
s označením „APO“ na jedné straně a „ATV20“ na druhé straně.
Tablety přípravku Apo-Atorvastatin 40 mg: bílé až téměř bílé, oválné, bikonvexní potahované tablety
s označením „APO“ na jedné straně a „ATV40“ na druhé straně.
Tablety přípravku Apo-Atorvastatin 80 mg: bílé až téměř bílé, oválné, bikonvexní potahované tablety
s označením „APO“ na jedné straně a „ATV80“ na druhé straně.",False,potahovaná tableta,"bílé, bílé, bílé, bílé, bílé, bílé, bílé, bílé",oválné,bikonvexní,,"„APO“, „A10“, „APO“, „ATV20“, „APO“, „ATV40“, „APO“, „ATV80“"
39,"Perinpa 4 mg/1,25 mg
tablety","Tableta.
Bílá podlouhlá tableta s půlicí rýhou na obou stranách a s vyraženým označením „H“ na obou
polovinách od půlicí rýhy, na druhé straně bez označení.
Tabletu lze rozdělit na stejné dávky.",True,tableta,bílá,podlouhlá,,,„H“
40,"Hydrogenuhličitan sodný 8,4% (w/v) - BRAUN
infuzní roztok","Infuzní roztok
Čirý, bezbarvý vodný roztok
Teoretická osmolarita2000 mOsm/l
pH7,0–8,5",False,infuzní roztok,bezbarvý,roztok,roztok,,
41,"Pioglitazon Mylan 15 mg
Pioglitazon Mylan 30 mg
tablety","Tableta.
15 mg: Bílé nebo téměř bílé kulaté bikonvexní tablety s vyraženým značením „PG“ nad „15“ na jedné
straně a „G“ na druhé straně. Průměr tablety: 6 mm ± 0.3 mm.
30 mg: Bílé nebo téměř bílé kulaté bikonvexní tablety s vyraženým značením „PG“ nad „30“ na jedné
straně a „G“ na druhé straně. Průměr tablety: 7 mm ± 0.3 mm.",False,tableta,"bílé, bílé, bílé, bílé",kulaté,bikonvexní,"['6 mm', '0.3 mm', '7 mm', '0.3 mm']","„PG“, „15“, „G“, „PG“, „30“, „G“"
42,"ALDACTONE 200 mg/10 ml injekční roztok
2","Injekční roztok
Popis přípravku: čirý, žlutý roztok
4",False,injekční roztok,žlutý,roztok,roztok,,
43,"Oltar 4 mg tablety
Oltar 6 mg tablety","Tableta
Oltar 4 mg tablety:
Žluté nepotahované tablety podlouhlého tvaru se zkosenými hranami (10,7 x 5,5 mm)
a s půlicí rýhou na jedné straně. Tabletu lze rozdělit na stejné dávky.
Oltar 6 mg tablety:
Žluté nepotahované tablety podlouhlého tvaru se zkosenými hranami (12,5 x 6,5 mm)
a s půlicí rýhou na jedné straně. Tabletu lze rozdělit na stejné dávky.",True,tableta,"žluté, žluté",podlouhlého,,"['5,5 mm', '6,5 mm']",
44,Atenativ 50 IU/ml prášek a rozpouštědlo pro infuzní roztok,"Prášek a rozpouštědlo pro infuzní roztok.
Atenativ se dodává v lyofilizované formě jako bílý nebo nažloutlý prášek nebo pevná drobivá
látka. Rozpouštědlo pro rekonstituci lyofilizovaného prášku je voda pro injekci, což je čirá
bezbarvá kapalina.",False,prášek a rozpouštědlo pro infuzní roztok,"bílý, nažloutlý, bezbarvá",roztok.,roztok.,,
45,Elaprase 2 mg/ml koncentrát pro infuzní roztok,"Koncentrát pro infuzní roztok (sterilní koncentrát).
Čirá až mírně opalescentní bezbarvá tekutina.",False,koncentrát pro infuzní roztok (sterilní koncentrát),bezbarvá,roztok,roztok,,
46,Asacol enema 4 g rektální suspenze,"Rektální suspenze.
Popis přípravku: Nahnědlá rektální suspenze.",False,rektální suspenze,hnědlá,,,,
47,"Dianeal PD4 Glucose 2,27 % w/v / 22,7 mg/ml
Roztok pro peritoneální dialýzu","Roztok pro peritoneální dialýzu.
Popis přípravku: čirý, lehce nažloutlý roztok",False,roztok pro peritoneální dialýzu,nažloutlý,roztok,roztok,,
48,"Ryzodeg 100 jednotek/ml injekční roztok v předplněném peru
Ryzodeg 100 jednotek/ml injekční roztok v zásobní vložce","Ryzodeg 100 jednotek/ml injekční roztok v předplněném peru
Injekční roztok (FlexTouch).
Ryzodeg 100 jednotek/ml injekční roztok v zásobní vložce
Injekční roztok (Penfill).
Čirý bezbarvý roztok s neutrálním pH.",False,ryzodeg 100 jednotek/ml injekční roztok v předplněném peru,bezbarvý,roztok,roztok,,
49,"Actos 15 mg tablety
Actos 30 mg tablety
Actos 45 mg tablety","Tableta
Actos 15 mg tablety
Tablety jsou bílé až téměř bílé, kulaté, konvexní s označením „15“ na jedné straně a označením
„ACTOS“ na druhé straně.
Actos 30 mg tablety
Tablety jsou bílé až téměř bílé, kulaté, ploché s označením „30“ na jedné straně a označením
„ACTOS“ na druhé straně.
Actos 45 mg tablety
Tablety jsou bílé až téměř bílé, kulaté, ploché s označením „45“ na jedné straně a označením
„ACTOS“ na druhé straně.",False,tableta,"bílé, bílé, bílé, bílé, bílé, bílé",kulaté,konvexní,,"„15“, „ACTOS“, „30“, „ACTOS“, „45“, „ACTOS“"
50,"ATEHEXAL 25 mg potahované tablety
ATEHEXAL 100 mg potahované tablety","Potahovaná tableta.
ATEHEXAL 25 mg: bílé kulaté a bikonvexní potahované tablety, hladké, na jedné straně
dělené půlicí rýhou a na straně druhé s označením „25“; velikost tablet o průměru 6,5 - 6,8
mm.
Půlicí rýha má pouze usnadnit dělení tablety pro snazší polykání, nikoliv její rozdělení na
stejné dávky.
ATEHEXAL 100 mg: bílé kulaté a bikonvexní potahované tablety, hladké, na jedné straně
dělené půlicí rýhou a na straně druhé s označením „100“; velikost tablet o průměru 11,0 - 11,3
mm.
Tabletu lze rozdělit na stejné dávky.",True,potahovaná tableta,"bílé, bílé",kulaté,bikonvexní,"['6,8\nmm', '11,3\nmm']","„25“, „100“"
51,Meteospasmyl 60 mg/300 mg měkké tobolky,"Měkká tobolka
Měkké želatinové krémově bílé tobolky obsahující bílou neprůhlednou masu.",False,měkká tobolka,"krémově, bílé, bílou",tobolka,tobolka,,
52,SOLCOSERYL,"Orální pasta.
Měkká homogenní pasta světle nahnědlé barvy.",False,orální pasta,hnědlé,,,,
53,INSPRA 50 mg potahované tablety,"Potahovaná tableta.
Tableta 50 mg: žlutá tableta s vyraženým “Pfizer” na jedné straně, “NSR” nad “50” na druhé straně
tablety.",False,potahovaná tableta,žlutá,,,,
54,Bydureon 2 mg prášek a rozpouštědlo pro injekční suspenzi s prodlouženým uvolňováním,"Prášek a rozpouštědlo pro injekční suspenzi s prodlouženým uvolňováním.
Prášek: bílý až téměř bílý prášek.
Rozpouštědlo: čirý, bezbarvý až lehce nažloutlý či nahnědlý roztok.",False,prášek a rozpouštědlo pro injekční suspenzi s prodlouženým uvolňováním,"bílý, bílý, bezbarvý, nažloutlý, hnědlý",roztok.,roztok.,,
55,Sulfasalazin K-EN 500 mg enterosolventní tablety,"Enterosolventní tableta
Popis tablety: kulaté, hladké, nahnědlé, nepatrně bikonvexní enterosolventní tablety se zkosenými
hranami.",False,enterosolventní tableta,hnědlé,kulaté,bikonvexní,,
56,"Kardegic 0,5 g prášek a rozpouštědlo pro injekční roztok.","Prášek a rozpouštědlo pro injekční roztok.
Bílý prášek v lahvičce a bezbarvá čirá tekutina v ampulce.",False,prášek a rozpouštědlo pro injekční roztok,"bílý, bezbarvá",roztok.,roztok.,,
57,Salofalk 1 g čípky,"Čípky
Popis přípravku: světle béžové čípky, torpédovitého tvaru",False,čípky,béžové,čípky,,,
58,"DAPRIL 5 mg tablety
DAPRIL 10 mg tablety
DAPRIL 20 mg tablety","Tableta
Kulaté, bikonvexní tablety starorůžové barvy, s mramorovitou strukturou, o průměru 6 mm.
Kulaté, bikonvexní tablety starorůžové barvy, s mramorovitou strukturou, o průměru 7 mm.
Kulaté, bikonvexní tablety starorůžové barvy, s mramorovitou strukturou, o průměru 8 mm.",False,tableta,"růžové, růžové, růžové",kulaté,bikonvexní,"['6 mm', '7 mm', '8 mm']",
59,"Isocor® 2,5 mg/ml injekční/infuzní roztok","Injekční roztok.
Isocor injekční roztok je bezbarvý roztok.",False,injekční roztok,bezbarvý,roztok.,roztok.,,
60,"Pentasa Sachet 4 g granule s prodlouženým uvolňováním v sáčku
2","granule s prodlouženým uvolňováním v sáčku
Popis přípravku: bílo-šedé až bílo-hnědé granule válcového tvaru.
4",False,granule s prodlouženým uvolňováním v sáčku,"bílo-, bílo-, hnědé",,,,
